,Lender,LoanAmount,Loans
1315,The Farmers & Merchants Bank,55256.0,6
1316,The Farmers National Bank of Canfield,98450.0,2
1317,The Farmers State Bank,5847.89,1
1318,"The Farmers State Bank of Oakley, Kansas",38240.0,5
1319,The First Bank and Trust Company,38600.0,3
1320,The First Bank of Celeste,32047.647058823528,34
1321,The First Liberty National Bank,35475.547941176446,238
1322,The First National Bank & Trust,25750.0,2
1323,"The First National Bank and Trust Co, Chickasha, Oklahoma",46200.0,4
1324,The First National Bank and Trust Company,32363.635,2
1325,The First National Bank and Trust Company of Broken Arrow,60900.0,1
1326,The First National Bank and Trust Company of Miami,55333.333333333336,3
1327,The First National Bank at Paris,22779.9475,4
1328,The First National Bank in Creston,33566.666666666664,3
1329,The First National Bank in Falfurrias,30512.955555555556,45
1330,The First National Bank of Allendale,1357.0,1
1331,The First National Bank of Aspermont,19395.166666666668,42
1332,The First National Bank of Ballinger,35781.662808219175,146
1333,The First National Bank of Bastrop,38730.333333333336,225
1334,The First National Bank of Bellville,33280.13315436241,149
1335,The First National Bank of Carmi,44300.0,1
1336,The First National Bank of Eagle Lake,37148.224137931036,58
1337,The First National Bank of Eldorado,23987.14285714286,56
1338,The First National Bank of Evant,35631.6001724138,58
1339,The First National Bank of Floydada,24329.8031,100
1340,The First National Bank of Gilmer,22627.24311688312,77
1341,The First National Bank of Granbury,32704.218281250003,128
1342,The First National Bank of Hebbronville,23666.81888888889,18
1343,The First National Bank of Hughes Springs,27179.663174603174,315
1344,The First National Bank of Hutchinson,1100.0,1
1345,The First National Bank of Kemp,28290.781111111115,45
1346,The First National Bank of Las Animas,34082.72,2
1347,The First National Bank of Livingston,38261.96036363636,220
1348,The First National Bank of Long Island,50414.0,1
1349,The First National Bank of McGregor d/b/a TFNB Your Bank for Life,39987.54098360656,305
1350,The First National Bank of Mertzon,31275.58823529412,85
1351,The First National Bank of Moody,40214.07812500001,16
1352,The First National Bank of Ottawa,42100.0,1
1353,The First National Bank of Quitaque,19078.563896103893,77
1354,The First National Bank of Shiner,32489.285714285714,84
1355,The First National Bank of Sonora,35627.270142180096,211
1356,The First National Bank of Spearville,20050.0,2
1357,The First National Bank of Sterling City,26282.29508196721,61
1358,The First National Bank of Tom Bean,44626.85833333333,60
1359,The First National Bank of Waseca,16685.0,1
1360,The First State Bank,32260.27904065041,615
1361,The First State Bank of Shelby,20832.0,1
1362,"The First, A National Banking Association",61103.631666666675,6
1363,The Fountain Trust Company,22200.0,2
1364,The Freedom Bank of Virginia,37794.0,1
1365,The Gorham State Bank,30952.92,1
1366,The Granger National Bank,21697.345555555556,9
1367,The Greenwood's State Bank,12080.0,2
1368,The Harbor Bank of Maryland,14650.0,3
1369,The Harrison County Bank,11800.0,1
1370,The Hershey State Bank,47192.22,1
1371,The HomeTown Bank of Alabama,90947.0,1
1372,The Hondo National Bank,21584.118000000002,45
1373,The Huntington National Bank,53593.583333333336,12
1374,The Idabel National Bank,31127.5,1
1375,The Jacksboro National Bank,29876.56614035087,57
1376,The Jefferson Bank,64206.0975,4
1377,The Karnes County National Bank,27783.016555555558,90
1378,The Lamesa National Bank,30214.880341880344,117
1379,The Liberty National Bank in Paris,37543.65042372881,118
1380,The MINT National Bank,35440.59675182482,274
1381,The Malvern National Bank,6923.0,1
1382,"The Mercantile Bank of Louisiana, Missouri",22344.666666666668,3
1383,The Missouri Bank,51536.6,1
1384,The Morris County National Bank of Naples,20360.840441176464,68
1385,The National Bank of Andrews,40245.77390625007,128
1386,The National Bank of Texas at Fort Worth,38627.9552,25
1387,The Nodaway Valley Bank,86033.33333333333,3
1388,The Northern Trust Company,38763.67857142857,84
1389,The Northwestern Bank,3037.7,1
1390,The Park National Bank,83887.05,2
1391,The Pauls Valley National Bank,26598.534999999996,10
1392,The Payne County Bank,13020.82,2
1393,The Pecos County State Bank,35717.153284671534,137
1394,The Peoples Bank,13969.775,6
1395,The Peoples Bank & Trust Company of Pointe Coupee Parish,19336.785,2
1396,The Perryton National Bank,31585.653375,80
1397,The Piedmont Bank,68725.0,4
1398,The Pueblo Bank and Trust Company,11445.82,1
1399,"The Riley State Bank of Riley, Kansas",4930.4,1
1400,The Roscoe State Bank,27440.54613207546,106
1401,The Salyersville National Bank,30801.19888888889,9
1402,The Security National Bank of Enid,68318.24,2
1403,"The Security National Bank of Sioux City, Iowa",4875.0,1
1404,The Security State Bank,33763.31604166667,48
1405,The State Bank,28031.0,2
1406,The State Exchange Bank,14228.57142857143,7
1407,The State National Bank of Big Spring,41608.825,120
1408,The State National Bank of Groom,41743.90818181818,22
1409,The Stock Exchange Bank,53900.0,1
1410,The Union Bank Company,8400.0,1
1411,The Union Bank of Mena,98635.0,1
1412,The Union State Bank of Everest,26400.0,1
1413,The Valley State Bank,59881.0,2
1414,The Waggoner National Bank of Vernon,23823.875035971218,139
1415,The Walton State Bank,3095.0,1
1416,The Western State Bank,56053.666666666664,3
1417,The Yoakum National Bank,30199.154600000005,50
1418,Third Coast Bank SSB,46080.3758184199,2291
1419,Thomasville National Bank,49125.0,2
1420,Thrivent FCU,21229.391304347828,23
1421,Timberline Bank,69900.0,2
1422,"Titan Bank, National Association",52897.18465116279,43
1423,Today's Bank,123366.0,1
1424,Together CU,13474.333333333334,6
1425,Touchmark National Bank,69517.39130434782,23
1426,Town Center Bank,30795.582000000002,10
1427,Towne Bank,21500.0,2
1428,TrailWest Bank,2500.0,1
1429,"TransPecos Banks, SSB.",29148.286486486486,555
1430,"Transportation Alliance Bank, Inc. d/b/a TAB Bank, Inc.",40520.84210526316,114
1431,Tri City National Bank,8113.0,2
1432,Tri Counties Bank,60375.0,4
1433,Triad Business Bank,8125.0,1
1434,"Trinity Bank, National Association",48540.22346368715,179
1435,Triumph Bank,42400.0,7
1436,TruFund Financial Services Inc,12661.351630434787,92
1437,True Sky CU,18918.0,5
1438,Truist Bank d/b/a Branch Banking & Trust Co,44239.44470712775,1417
1439,Truity FCU,17286.727272727272,11
1440,"TrustTexas Bank, S.S.B.",30642.941355932206,59
1441,Trustmark National Bank,42346.27508561642,584
1442,Truxton Trust Company,61181.746666666666,3
1443,Tulsa FCU,39658.19,3
1444,U.P. State CU,2455.0,1
1445,"U.S. Bank, National Association",37555.76155487805,328
1446,U.S. Century Bank,13677.0,1
1447,UBank,39556.22571428571,98
1448,"UMB Bank, National Association",42869.208333333336,156
1449,US Eagle FCU,35091.666666666664,6
1450,US Metro Bank,41296.153846153844,26
1451,USF FCU,8122.0,1
1452,Umpqua Bank,39500.0,19
1453,UniBank,63314.75,2
1454,UniWyo FCU,44000.0,1
1455,Unico Bank,80992.0,1
1456,Unify Financial FCU,48143.333333333336,6
1457,Union Bank & Trust Company,16779.0,1
1458,Union Bank and Trust Company,44340.36842105263,19
1459,Union Savings Bank,47000.0,1
1460,United Bank,32568.5,12
1461,United Bank & Trust,47700.0,2
1462,United Bank of El Paso del Norte,50096.95121951219,328
1463,United Community Bank,50692.619680851065,94
1464,United FCU,58810.0,1
1465,"United Fidelity Bank, FSB",22183.0,1
1466,"United Midwest Savings Bank, National Association",30094.04029850746,67
1467,United Texas Bank,39674.52794117648,34
1468,United Texas CU,38438.0795,40
1469,Unity National Bank of Houston,22801.470588235294,272
1470,University FCU,22925.357997977757,989
1471,Utah Community FCU,10365.0,1
1472,Utah First FCU,30125.0,3
1473,VISIONBank,25900.0,1
1474,Valley Bank of Commerce,33686.365,6
1475,Valley National Bank,31616.85714285714,7
1476,Valley Republic Bank,15000.0,1
1477,Valliance Bank,35287.89592760181,221
1478,Valor Bank,25300.0,2
1479,ValueBank Texas,37673.0,109
1480,Vantage Bank Texas,51410.63416536662,641
1481,"Vast Bank, National Association",26169.316923076924,13
1482,Velocity CU,23258.688115942026,138
1483,"VelocitySBA, LLC",53566.666666666664,6
1484,"VeraBank, National Association",35988.21938398357,1461
1485,Veritex Community Bank,46811.82830423937,1604
1486,Vibrant CU,46696.875,16
1487,"Village Bank and Trust, National Association",42057.882352941175,17
1488,Vinings Bank,41612.5,8
1489,Virginia National Bank,26400.0,1
1490,"Vision Bank, National Association",28386.125,20
1491,Vision One CU,72353.954,5
1492,VisionBank,20800.0,1
1493,Visions FCU,1638.0,1
1494,Vista Bank,32383.947321867323,1628
1495,Volunteer State Bank,56533.335,2
1496,VyStar CU,9613.333333333334,3
1497,Wallis Bank,35132.026924989645,2413
1498,Walters Bank and Trust Company,10400.0,1
1499,Wasatch Peaks FCU,10895.0,2
1500,Washington County Bank,122600.0,1
1501,"Washington Federal Bank, National Association",28182.913672727285,275
1502,Washington Savings Bank,20833.0,1
1503,Washington State Empl CU,1603.0,1
1504,Washington Trust Bank,32615.75,4
1505,"WaterStone Bank, SSB",20832.0,1
1506,"Waterford Bank, National Association",30900.0,1
1507,Waterman State Bank,112236.0,1
1508,Watermark Bank,44585.71428571428,7
1509,Waukon State Bank,20833.32,1
1510,Waypoint Bank,14850.0,2
1511,WebBank,20707.33487709298,5614
1512,"Webster Bank, National Association",31693.5,2
1513,Wellington State Bank,24386.88779661016,177
1514,"Wells Fargo Bank, National Association",26492.54755683303,15308
1515,West Gate Bank,22100.0,2
1516,West Michigan Community Bank,9600.0,1
1517,West Suburban Bank,140926.0,1
1518,West Texas National Bank,41253.50869565218,276
1519,West Texas State Bank,22010.541296296295,54
1520,West Town Bank & Trust,50187.34625,8
1521,WestStar Bank,44883.42622293504,1247
1522,Westamerica Bank,29858.0,1
1523,Western Alliance Bank,59021.09090909091,11
1524,Western Bank,38489.68417721519,79
1525,Western Bank of Clovis,55571.42857142857,7
1526,"Western Bank, Artesia, New Mexico",40434.5,2
1527,Western Commerce Bank,21084.10447761194,67
1528,Western Heritage Bank,55123.08112820513,195
1529,Western State Bank,93500.0,4
1530,Western States Bank,61983.925,2
1531,Western Union Company,38400.0,1
1532,"Westfield Bank, FSB",42672.0,1
1533,Westside State Bank,16880.325,4
1534,"Wilmington Savings Fund Society, FSB",33790.375,2
1535,Wilson Bank & Trust,4100.0,1
1536,Winnsboro State Bank & Trust Co.,7531.0,2
1537,"Wintrust Bank, National Association",85800.5,2
1538,Wood & Huston Bank,34096.488,15
1539,Woodforest National Bank,31331.876923076925,2340
1540,Woori America Bank,30949.275862068964,29
1541,"World Trade Finance,  Inc.",43857.0,1
1542,Worthington National Bank,54270.88353413655,249
1543,Wright Patt CU Inc,14146.666666666666,3
1544,Wyoming Community Bank,64950.0,2
1545,Xceed Financial FCU,17297.5,4
1546,Yampa Valley Bank,19281.0,2
1547,Yantis FCU,31688.0,6
1548,"Yosemite Farm Credit, Aca",117552.0,1
1549,"Zions Bank, A Division of",35629.84026522001,6635
1550,b1Bank,40511.58262626262,198
1551,cPort CU,7703.12,1
1552,iTHINK Financial CU,9870.0,5
1553,"immito, LLC",31528.571428571428,7
1554,mBank,8900.0,2
