,Lender,LoanAmount,Loans
310,"Citizens Bank, National Association",37563.976047904194,167
311,Citizens Equity First CU,11663.303333333335,3
312,Citizens First Bank,51700.0,3
313,Citizens National Bank,40424.42994791667,192
314,Citizens National Bank at Brownwood,33319.172932330825,133
315,Citizens National Bank of Crosbyton,35359.97550000001,20
316,Citizens National Bank of Texas,37352.67471819646,1242
317,"Citizens National Bank, National Association",19416.91888888889,9
318,Citizens State Bank,32173.208399071966,862
319,Citizens State Bank of Luling,26982.322567567568,74
320,Citizens State Bank of Milford,21980.0,1
321,City & County CU,26117.28,1
322,City Bank,33775.7852244389,1604
323,City Bank & Trust Co.,59637.0,2
324,City FCU,9201.562727272727,11
325,City National Bank,50421.688048780496,41
326,City National Bank of Florida,60120.666666666664,96
327,Citywide Banks,21500.0,2
328,Civista Bank,54100.0,3
329,"Classic Bank, National Association",28807.780457142864,175
330,Clear Mountain Bank,22406.928,5
331,Clearinghouse CDFI PPP,5859.191489361702,47
332,Clearpath FCU,26035.0,1
333,CoBank ACB,82474.52545454545,11
334,Coastal Community Bank,49030.0,10
335,Coastal States Bank,68825.0,8
336,Coffee County Bank,62710.0,2
337,Cogent Bank,71520.71428571429,14
338,Coleman County State Bank,27845.51724137931,145
339,"Colonial Savings, F.A.",35596.153846153844,26
340,Colony Bank,22871.8125,4
341,Columbia State Bank,80888.09634146342,41
342,Comerica Bank,39481.59176225235,2877
343,Commerce Bank,39023.43775510204,196
344,Commerce Bank of Arizona,49125.0,2
345,CommerceWest Bank,23900.0,1
346,Commercial Bank,10297.0,1
347,Commercial Bank and Trust Company,27949.75,4
348,Commercial Bank of California,43329.75,5
349,"Commercial Bank of Texas, N.A.",34900.29886246122,967
350,Commercial National Bank of Texarkana,44933.46738636364,88
351,Commercial State Bank,43031.610363636355,55
352,Commercial State Bank of Wagner,9550.0,1
353,Commonwealth Business Bank,29379.373592233012,206
354,Community Bank,34880.272467532464,77
355,"Community Bank & Trust, Waco, Texas",41094.79595330735,257
356,Community Bank of Louisiana,56872.53555555556,9
357,Community Bank of Mississippi,56650.0,16
358,Community Bank of Raymore,13293.5,10
359,"Community Bank of Wichita, Inc",88600.0,1
360,"Community Banks of Colorado, A Division of",53186.666666666664,90
361,Community Choice CU,12855.425,2
362,Community Federal Savings Bank,105277.9,10
363,Community Financial Services Bank,26107.123333333333,3
364,Community First Bank,46777.76,2
365,Community First Bank of Indiana,16561.02,1
366,Community First National Bank,30961.79245283019,53
367,Community National Bank,36994.232671840466,902
368,Community National Bank & Trust,30066.666666666668,3
369,Community National Bank & Trust of Texas,30725.784427994626,743
370,Community Neighbor Bank,39390.0,1
371,Community Savings Bank,50100.0,1
372,Community Service CU,31822.905769230772,26
373,Community State Bank,20760.0,15
374,CommunityAmerica CU,82600.0,1
375,"CommunityBank of Texas, National Association",45227.61027944112,1503
376,Concordia Bank & Trust Company,16622.9,1
377,Congressional Bank,28410.347499999993,24
378,ConnectOne Bank,16600.0,1
379,"Connecticut Community Bank, National Association",61320.134,5
380,Continental Bank,14300.0,16
381,Conway Bank,56733.333333333336,15
382,CorTrust Bank National Association,16112.0,1
383,Core Bank,38758.25,4
384,CoreFirst Bank & Trust,87122.2,5
385,CornerStone State Bank,18645.0,1
386,Cornerstone Bank,30527.07,5
387,"Cornerstone Bank, National Association",20000.0,1
388,Cornerstone Community Bank,105000.0,1
389,Cornerstone National Bank & Trust Company,73067.0,2
390,CornerstoneBank,63150.0,2
391,Cornhusker Bank,88100.0,2
392,Country Club Bank,20833.0,1
393,Credit Human FCU,17781.240404411757,544
394,Credit Union of America,8043.335,2
395,Crockett National Bank,32240.635964912282,228
396,Cross Keys Bank,29855.555555555555,9
397,Cross River Bank,24702.314720986797,8996
398,CrossFirst Bank,46976.25,80
399,Crossroads Bank,27905.62091503268,153
400,Crowell State Bank,20514.615833333333,12
401,Crown Bank,20832.0,1
402,Customers Bank,19426.7044142804,2689
403,Cy Fair FCU,22919.46153846154,91
404,"Cypress Bank, SSB",34487.97194444444,36
405,Cyprus FCU,3300.0,1
406,D. L. Evans Bank,40800.0,1
